# File,Distance
image_1056.jpg,29.65338929967951
image_0001.jpg,29.68907053371943
image_0818.jpg,29.75964877582316
image_0160.jpg,29.91843763568923
image_0252.jpg,29.954100452564475
image_1249.jpg,30.048431673304847
image_0481.jpg,30.170608414791097
image_0124.jpg,30.179661072678044
image_0697.jpg,30.180822711650485
image_0198.jpg,30.208489045927276
image_0116.jpg,30.208497103867884
image_0794.jpg,30.216733259917326
image_0944.jpg,30.221541814269354
image_0834.jpg,30.251079426332996
image_0123.jpg,30.263659263244712
image_0305.jpg,30.317879019635974
image_0110.jpg,30.35009516133791
image_0260.jpg,30.351060046980606
image_0306.jpg,30.369922822128657
image_0337.jpg,30.378354367513438
image_0301.jpg,30.386777759044538
image_0152.jpg,30.44177705480454
image_0483.jpg,30.49168934392975
image_0892.jpg,30.515886291114377
image_1074.jpg,30.548892942073053
image_0515.jpg,30.550984109236822
image_0069.jpg,30.56058619145954
image_0140.jpg,30.623387275519153
image_1299.jpg,30.64773668367481
image_0135.jpg,30.656827354387623
image_0242.jpg,30.677533531584487
image_0121.jpg,30.705118273958753
image_0104.jpg,30.745592935265854
image_0367.jpg,30.754223344219092
image_0243.jpg,30.79381701850894
image_0521.jpg,30.81150635833759
image_0632.jpg,30.817672433998396
image_0540.jpg,30.838211938419803
image_0195.jpg,30.84197736457244
image_0190.jpg,30.844797385347285
image_0669.jpg,30.849882149004856
image_0286.jpg,30.869104469219494
image_1105.jpg,30.869988066078207
image_0274.jpg,30.870666588644774
image_0122.jpg,30.888027466344205
image_0263.jpg,30.91055568421416
image_0400.jpg,30.929637516352606
image_1274.jpg,30.943881151249975
image_1022.jpg,30.96937104816243
image_0541.jpg,30.98756107084379
image_0921.jpg,30.99087712251772
image_0882.jpg,30.996109346725227
image_1244.jpg,30.999699805205864
image_0804.jpg,31.030561382861265
image_0899.jpg,31.05197457279433
image_0336.jpg,31.059940801016538
image_0557.jpg,31.07553564434331
image_0328.jpg,31.077412586425286
image_0180.jpg,31.079570263821886
image_0119.jpg,31.080782507851993
image_0093.jpg,31.09987628015442
image_0454.jpg,31.102882659756332
image_0222.jpg,31.107971262918106
image_0319.jpg,31.11350310017574
image_1267.jpg,31.14068785563194
image_0396.jpg,31.149428917171484
image_1304.jpg,31.168829077482982
image_0303.jpg,31.178789061629757
image_0825.jpg,31.198983873748798
image_0221.jpg,31.20419964362403
image_0875.jpg,31.213627145938382
image_0348.jpg,31.214958067596065
image_0445.jpg,31.224569953125155
image_1099.jpg,31.239338771886874
image_0155.jpg,31.255964502028736
image_1078.jpg,31.262541018223992
image_1061.jpg,31.280173681041145
image_0751.jpg,31.288054987784708
image_0595.jpg,31.322849181509326
image_0375.jpg,31.33369923370531
image_0347.jpg,31.364611946952465
image_0616.jpg,31.369399146248206
image_0694.jpg,31.37491970985021
image_0205.jpg,31.37831429762936
image_0717.jpg,31.385243704105754
image_0191.jpg,31.386179072669734
image_0626.jpg,31.39031104855699
image_0230.jpg,31.398261364717055
image_1081.jpg,31.401478852758242
image_0322.jpg,31.404149938061884
image_0295.jpg,31.40429300480119
image_0227.jpg,31.41035086052623
image_0659.jpg,31.411988378102443
image_0148.jpg,31.41216288886546
image_0075.jpg,31.41521493675716
image_0013.jpg,31.422774907930517
image_0448.jpg,31.42536201434214
image_1046.jpg,31.44125382067262
image_0876.jpg,31.45040383602585
image_0294.jpg,31.46335958972741
image_0922.jpg,31.463923536551036
image_0279.jpg,31.46910709541774
image_0178.jpg,31.472150280834747
image_0139.jpg,31.473635432800226
